Date,Open,High,Low,Close
2019-09-30,175.0295,175.2703,173.889,173.9399
2019-10-01,174.459,174.549,173.453,174.088
2019-10-02,174.106,174.474,172.248,172.944
2019-10-03,172.944,173.66,171.391,173.405
2019-10-04,173.509,174.073,172.949,173.495
2019-10-07,173.641,173.936,172.998,173.1
2019-10-08,172.116,173.46,171.915,173.32
2019-10-09,174.065,174.571,172.922,173.068
2019-10-10,173.382,173.957,173.161,173.579
2019-10-11,174.851,176.127,174.227,176.036
2019-10-14,175.052,175.251,174.312,174.988
2019-10-15,174.422,175.505,174.37,174.749
2019-10-16,174.489,175.429,174.225,174.975
2019-10-17,174.99,175.578,174.309,175.532
2019-10-18,175.532,176.302,175.237,175.753
2019-10-21,175.528,175.699,174.215,174.736
2019-10-22,175.191,176.268,175.164,175.506
2019-10-23,174.793,177.379,174.346,177.296
2019-10-24,177.296,178.069,177.271,177.71
2019-10-25,177.7,178.562,177.076,178.369
2019-10-28,178.121,179.015,177.933,178.282
2019-10-29,177.829,179.041,177.474,178.375
2019-10-30,178.404,178.853,177.837,178.312
2019-10-31,177.8521,177.8841,176.1215,176.8933
2019-11-01,176.893,180.299,176.789,180.274
2019-11-04,181.432,181.905,181.055,181.088
2019-11-05,181.732,182.255,181.645,182.09
2019-11-06,181.988,182.438,180.332,180.513
2019-11-07,180.989,181.567,180.877,180.981
2019-11-08,179.971,181.559,179.208,181.275
2019-11-11,179.706,180.598,179.367,179.413
2019-11-12,179.775,180.459,179.35,179.804
2019-11-13,179.459,180.758,179.425,180.312
2019-11-14,181.243,181.347,179.935,180.088
2019-11-15,179.82,181.445,179.679,181.001
2019-11-18,180.301,180.318,178.762,179.178
2019-11-19,178.608,178.686,176.973,177.155
2019-11-20,177.623,179.633,177.509,178.964
2019-11-21,178.828,180.742,178.788,180.728
2019-11-22,180.731,181.154,179.919,180.371
2019-11-25,179.946,180.693,179.279,180.569
2019-11-26,180.311,181.1,180.206,181.1
2019-11-27,181.297,181.307,179.772,180.347
2019-11-29,179.7501,179.8512,176.5357,176.6551
2019-12-02,177.992,178.027,176.936,177.124
2019-12-03,177.359,178.199,176.86,177.589
2019-12-04,178.573,179.965,178.572,179.403
2019-12-05,179.403,180.833,179.403,180.068
2019-12-06,180.199,181.726,179.882,181.191
2019-12-09,180.249,181.548,180.021,181.175
2019-12-10,181.109,182.408,180.964,182.167
2019-12-11,181.828,182.151,180.781,181.494
2019-12-12,181.833,183.304,181.664,182.916
2019-12-13,183.984,185.298,183.343,183.809
2019-12-16,184.416,185.446,184.277,185.211
2019-12-17,185.157,185.523,184.925,185.281
2019-12-18,184.565,185.285,184.218,184.964
2019-12-19,184.643,185.289,184.215,185.125
2019-12-20,185.083,185.489,184.552,185.043
2019-12-23,184.515,184.793,183.966,184.469
2019-12-24,184.861,185.599,184.675,185.534
2019-12-26,186.148,186.823,185.92,186.684
2019-12-27,186.945,187.288,186.746,187.179
2019-12-30,187.545,187.79,186.195,186.846
2019-12-31,186.1362,186.6988,185.7495,185.787
2020-01-02,186.073,186.12,184.956,185.534
2020-01-03,187.542,187.867,186.38,186.897
2020-01-06,187.485,187.71,186.767,187.388
2020-01-07,186.7,187.025,186.212,186.925
2020-01-08,186.855,186.884,182.798,183.375
2020-01-09,183.557,183.803,182.594,183.561
2020-01-10,184.206,184.441,183.459,184.131
2020-01-13,183.938,184.051,182.756,183.009
2020-01-14,183.54,184.25,183.524,183.641
2020-01-15,183.479,183.479,182.451,182.694
2020-01-16,182.307,183.088,182.202,182.248
2020-01-17,182.55,182.935,182.211,182.887
2020-01-21,181.551,182.055,181.356,181.564
2020-01-22,181.541,181.626,179.781,180.0301
2020-01-23,179.4033,179.4033,177.8505,178.5272
2020-01-24,177.651,177.683,175.477,175.753
2020-01-27,173.65,173.957,172.569,173.176
2020-01-28,173.216,174.377,172.853,173.797
2020-01-29,174.2257,174.6156,172.6911,172.9541
2020-01-30,171.6499,172.0729,170.6074,171.1404
2020-01-31,171.6543,171.6633,169.884,170.3058
2020-02-03,170.158,170.161,167.619,168.052
2020-02-04,169.6872,170.1617,167.8612,167.9337
2020-02-05,169.6449,170.4772,169.3616,169.5431
2020-02-06,170.1496,170.5507,169.077,170.4761
2020-02-07,170.22,170.868,169.893,170.122
2020-02-10,169.866,169.895,168.684,168.875
2020-02-11,169.965,170.289,169.415,169.615
2020-02-12,170.9486,171.9723,170.9158,171.7626
2020-02-13,171.3165,173.0436,171.0932,172.2763
2020-02-14,172.8258,173.6808,172.5326,172.9549
2020-02-18,172.847,173.863,172.614,173.813
2020-02-19,174.6736,175.6234,174.0522,175.4986
2020-02-20,175.5,176.064,174.619,174.727
2020-02-21,173.6015,174.6853,173.5417,174.6458
2020-02-24,170.969,171.034,169.446,170.566
2020-02-25,170.1479,170.7689,168.391,168.4884
2020-02-26,166.9046,168.4853,165.8208,166.2814
2020-02-27,163.8595,163.936,161.5572,163.1181
2020-02-28,161.0062,161.0646,157.8946,159.4459
2020-03-02,160.7662,163.9252,160.4713,163.4973
2020-03-03,165.6231,166.793,164.0936,164.931
2020-03-04,166.1209,166.3855,164.3219,164.6699
2020-03-05,164.5516,164.6908,162.2584,162.3655
2020-03-06,159.9886,160.3314,155.6921,155.8452
2020-03-09,144.7169,148.2402,143.7638,144.8105
2020-03-10,149.6211,150.8456,148.21,150.6593
2020-03-11,149.0729,150.0947,147.4041,147.7997
2020-03-12,142.9013,143.5034,140.2813,141.9421
2020-03-13,145.3401,146.0786,139.9795,140.8376
2020-03-16,140.8376,140.8376,132.3339,132.7148
2020-03-17,133.2005,134.1794,130.2454,130.2894
2020-03-18,127.8099,127.8999,119.789,120.3426
2020-03-19,123.3063,127.8037,122.0627,127.6348
2020-03-20,130.0895,130.5683,123.6917,123.8847
2020-03-23,123.8847,125.155,122.001,124.7133
2020-03-24,127.9381,128.8273,126.7437,128.1549
2020-03-25,127.6267,130.2258,126.5989,129.5971
2020-03-26,129.5971,129.5971,125.9351,126.3466
2020-03-27,126.0998,126.2249,123.2133,123.8843
2020-03-30,122.0807,122.3178,120.4633,121.6872
2020-03-31,123.4442,123.7562,121.2256,121.7868
2020-04-01,120.7812,121.0615,118.4065,118.4992
2020-04-02,121.8223,128.5834,120.1445,124.8388
2020-04-03,126.7652,129.2851,125.7537,127.959
2020-04-06,127.8991,128.8443,127.21,128.0636
2020-04-07,130.4481,130.7289,127.8619,127.9545
